contract_id,summary,termination_clause,confidentiality_clause,liability_clause
TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT,"This development agreement between BP America Production Company and True North Energy Corp stipulates a 11.67% stake in an Initial Well located on the Contract Area, with the company bearing the cost of drilling. Additional wells can be drilled once BP's interest is achieved. Risks include potential disputes over ownership rights and costs exceeding anticipated levels.",Not found,Not found,Not found
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","### Summary

This contract outlines an agreement between Blue Hills Bancorp, Inc., Hyde Park Bancorp MHC, Hyde Park Bancorp Inc., and Blue Hills Bank. The purpose is to convert the current mutual holding company form of organization into a stock holding company through a subscription offering. Key obligations include:

- Offering up to 24,150,000 shares (subject to increase) at $10 per share.
- Subscription for these shares will be from eligible account holders, tax-qualified employee benefit plans, and certain employees, officers, directors, trustees, and corporators of the bank, Mid-Tier, and MHC who do not have higher priority. 
- Shares not subscribed in the subscription offering can be offered to members of the general public through a syndicated community offering or underwritten offering with Keefe, Bruyette & Woods acting as sole bookrunner.

Notable risks include:
- The possibility that shares may not be subscribed for.
- The potential for market volatility affecting share prices and investor interest.","(c) If any of the conditions specified in Section 8 shall not have been fulfilled when and as required by this Agreement, unless waived in writing, or by the Closing Date, this Agreement and all of the Agent's obligations hereunder may be cancelled by the Agent by notifying the Holding Company of such cancellation in writing or by electronic mail at any time at or prior to the Closing Date, and any such cancellation shall be without liability of any party to any other party except as otherwise provided in Sections 2(a), 2(e), 7, 9 and 10 hereof.",Not found,"If an indemnifying party assumes the defense of such action, the indemnifying parties shall not be liable for any fees and expenses of counsel for the indemnified parties incurred thereafter in connection with such action, proceeding or claim, other than reasonable costs of investigation."
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"This contract establishes a framework agreement for purchasing products from a seller to the buyer/End-User through an intermediary (Yichangtai or Leheyuan). The essential obligations include accepting orders within three working days, modifying orders with written notice and consent, and ensuring proper packaging. Notable risks involve potential damage due to improper packing, inadequate protective measures, and compliance with China's Entry-Exit Inspection and Quarantine Bureau requirements for goods export.","If the Sellers fail to make delivery ten weeks later than the time of shipment stipulated in the Contract, the Buyers have the right to cancel the contract and the Sellers, in spite of the cancellation, shall still pay the aforesaid penalty to the Buyers without delay, the seller should refund the money received and pay the 30% of the total goods price of the penalty","20. This final price is the confidential information.

Dissemination, distribution or duplication of this price is strictly prohibited.",Not found
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT,"This contract outlines a reseller agreement between Diversinet Corp. and 2205925 Ontario Limited for marketing and selling certain of Diversinet's products within Canada. The key obligations include the exclusive right to market and sell the specified products in Canada, with potential rights to expand outside of Canada upon prior written consent from Diversinet. Reseller must pay an annual minimum commitment (AMC) and has a non-exclusive right to contract internationally except for the United States. Reseller is also entitled to certain discounts for sales in the US.","If Reseller terminates the AMC in the manner contemplated in Schedule 3, the exclusive license above shall revert to being a non-exclusive license.","Reseller agrees that all software, documentation and materials provided with the Products and all information contained therein is owned by Diversinet. The Parties agree that any other information of a confidential or proprietary nature provided by one Party to the other from time to time, whether marked as 'Proprietary', 'Confidential', 'Secret' or any other designation implying confidentiality, is owned by the disclosing Party (all such information hereafter, collectively 'Trade Secrets'). Both Parties shall treat the other Party's Trade Secrets with the same care as they treat their own confidential information of a like nature, but in no case shall the receiving Party use less care in handling the Trade Secrets than would be reasonable under the circumstances.","(d) NOTWITHSTANDING THE ABOVE, IN NO EVENT SHALL DIVERSINET'S LIABILITY RELATING TO THIS AGREEMENT (OR THE BUNDLED PRODUCT) EXCEED ONE HUNDRED PERCENT (100%) OF THE AGGREGATE AMOUNT OF THE LICENSE FEES, ROYALTIES AND SUPPORT FEES PAID BY RESELLER IN THE TWELVE (12) MONTH PERIOD PRECEDING THE EVENT OR CIRCUMSTANCE GIVING RISE TO THE ALLEGED LIABILITY ON THE PART OF DIVERSINET.
(e) The limitations set forth in Section 15(a), (b), (c), (d) and (e) shall not apply in respect of (i) breach of confidentiality obligations; (ii) breach of privacy provisions as detailed in Schedule 6; (iii) the intellectual property indemnity; (iv) any Abandonment committed by Diversinet; or
(v) any willful gross misconduct (including fraud)."
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3),"This Collaboration Agreement between Xencor Inc. and Boehringer Ingelheim International GmbH outlines the terms of a research collaboration aimed at developing new pharmaceutical products. Key points include:
- The effective date is February 10, 2012.
- Both parties agree to cooperate in project development under cGMP guidelines.
- Responsibilities are divided between Xencor and BII for personnel, conduct of projects, and deliverables.
- Payment terms cover project fees, technology access fee, and VAT. 
- Ownership and use of project data is outlined with specific provisions regarding process usage and negotiation rights.
The agreement emphasizes the importance of confidentiality and adherence to cGMP standards in their operations.","10.2.1If it is apparent to either Party at any stage of the Project that it will not be possible to carry out the Project for scientific, technical or business reasons, such Party may terminate this Agreement upon one hundred eighty (180) days prior written notice to the other Party.","The obligations to keep secret, not to disclose and not to use the Disclosing Party's Confidential Information and KnowHow or parts thereof shall not apply in the event that the respective Confidential Information or and Know-How such parts thereof:
a.can be shown by written documentation to have been known to Receiving Party or its Affiliated Companies prior to disclosure by the Disclosing Party or its Affiliated Companies hereunder or under the MTA (in no event will Confidential Information and Know-Ho of the Disclosing Party that is generated by the Receiving Party or its Affiliated Companies (e.g., Improvements that are XENCOR Intellectual Property) be considered to be known by the Receiving Party or its Affiliated Companies prior to disclosure by the Disclosing Party or its Affiliated Companies),b.is or comes into the public domain by publication or otherwise through no breach of this Agreement or the MTA, or c.can be shown by written documentation to have been made known to Receiving Party or its Affiliated Companies from another source free from any obligation of confidentiality and was not obtained either directly or indirectly from Disclosing Party or its Affiliated Companies, or d.can be shown by written documentation to have been independently developed or created by Receiving Party or its Affiliated Companies without access to the other Party's Confidential Information and KnowHow (in no event will Confidential Information and Know-How of the Disclosing Party that is generated by the Receiving Party or its Affiliated Companies (e.g., Improvements that are XENCOR Intellectual Property) be considered to be independently developed by the Receiving Party or its Affiliated Companies).","For the avoidance of doubt, all BII liability or indemnification obligation that might result from representations and the warranties under this Section 6 are always subject to the limitations set forth in Section 7.4 of this Agreement."
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,"This contract is between NETWORK 1 FINANCIAL CORPORATION and PAYMENT DATA SYSTEMS, INC., establishing an affiliate office agreement. The key obligations include:
- Network 1 agrees to market Services through Affiliate's contractors.
- Affiliate must locate individuals willing to act as network contractors for both Network 1 and its subsidiaries.
- Network 1 consents to waive exclusivity requirements with specific merchants that are declined by Network 1, provided they can be processed by a designated B bank source.
- Affiliate discloses background information on contractors to Network 1.
Notable risks include:
- The exclusivity requirement for certain merchants may not apply if Network 1 is unable to process them or if the merchant is declined by another provider.
- There are no specific risks mentioned in the summary.","At the Affiliate request, a boarded Merchant may be terminated from services so long as good reason exists.",Not found,"7.01 AFFILIATE.
Affiliate hereby agrees to indemnify and hold harmless
Network 1, VISA, MasterCard and the Member Bank from and against any loss, cost or damage (including reasonable legal fees and court costs) incurred by Network
1, VISA, MasterCard and the Member Bank as a result of Affiliate's failure to comply with the terms of this Agreement, Affiliate's misrepresentation with respect to this Agreement or Affiliate's knowing or negligent misrepresentation with respect to Contractors.
7.02 NETWORK 1.
Network 1 hereby agrees to indemnify and hold harmless
Affiliate from and against any loss, cost or damage (including reasonable legal fees and court costs) incurred by Affiliate as a result of Network 1's failure to comply with the terms of this Agreement."
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,"This contract details the licensing and hosting agreement between Corio Inc. and Commerce One, focusing on software licensing, customer support, marketing promotion, and financial considerations. Key obligations include providing software access through Corio's servers, offering tiered support services, and sharing revenue from certain types of sales. Risks noted involve potential changes in the definition of ""SOFTWARE USER"" or adjustments to terms due to future agreements between Commerce One and its clients.","If either party materially breaches any term or condition of this Agreement and fails to cure such breach within-thirty (30) days after receiving written notice of the breach, the nonbreaching party may terminate this Agreement on written notice at any time following the end of such-thirty (30) day period.",Each party hereby agrees that it shall not use any Confidential Information received from the other party other than as expressly permitted under the terms of a non-disclosure agreement to be concurrently executed with this Agreement.,"EXCEPT FOR LIABILITY ARISING UNDER SECTION 8 OF THIS AGREEMENT, IN NO EVENT SHALL EITHER PARTY HAVE ANY LIABILITY TO THE OTHER PARTY FOR ANY LOST PROFITS OR COSTS OF PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES, OR FOR ANY INDIRECT, SPECIAL OR CONSEQUENTIAL DAMAGES HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY AND WHETHER OR NOT SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE."
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,"This Website Design, Development, and Hosting Agreement (""Agreement"") is between Natalija Tunevic (Client) and Mitchell Vitalis (Company). The client agrees to pay $5,000 for a website design and development project. Any changes require written acceptance from Company. Client must provide written content in specified formats; Company will not proofread or correct errors unless paid extra. Client acknowledges the due dates are subject to delay if materials are late or approvals delayed.",Not found,Not found,Not found
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2,"This amendment to the Manufacturing Agreement between Heritage and Premier modifies the minimum annual order volume requirement for Premier's purchases. It obligates Premier to purchase a specified quantity of units annually from July 1, 2018 through June 30, 2019, with additional volumes required in subsequent years contingent on commercial production approval by January 1, 2019. The amendment maintains all other terms and conditions unchanged.",Not found,Not found,Not found
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement,"This contract is an endorsement agreement between ABG-Shaq LLC (the Celebrity) and Papa John's Marketing Fund Inc., a Kentucky corporation (PJMF), and Papa John's International, Inc. (PJI). The purpose of the agreement is to allow PJM to use the Celebrity's name, image, and services in connection with PJI's advertising, promotion, and sale of products. The key obligations include granting rights to use the Celebrity's Personality Rights for a contract year and subsequent twelve-month periods. Notable risks include potential legal challenges over the interpretation of ""Approved"" by ABG regarding the Celebrity's likeness and image usage.","If this Agreement is terminated by PAPA JOHN'S for any of the reasons set forth in Section 7.A. above, then CELEBRITY shall be entitled to immediately vest in the pro-rata share of the respective number of RSUs for the then-current Contract Year as set forth in Section 5.B. above, determined by multiplying the number of RSUs for such Contract Year by a fraction, the numerator of which is the number of days elapsed in such Contract Year and the denominator of which is the total number of days in such Contract Year, and such RSUs shall vest immediately as of the effective date of termination.",Not found,"TO THE MAXIMUM EXTENT PERMISSIBLE UNDER APPLICABLE LAW, NEITHER ABG NOR AUTHENTIC BRANDS GROUP LLC NOR CELEBRITY SHALL BE LIABLE TO PAPA JOHN'S FOR ANY CONSEQUENTIAL, INCIDENTAL, PUNITIVE, EXEMPLARY, OR SPECIAL DAMAGES, REGARDLESS OF THE FORM OR ACTION, WHETHER IN CONTRACT OR TORT, EVEN IF ABG OR AUTHENTIC BRANDS GROUP LLC HAS BEEN ADVISED OF THE POSSIBLITY OF SUCH DAMAGES OR LOSSES. IN NO EVENT SHALL ABG'S, AUTHENTIC BRANDS GROUP LLC'S, AND CELEBRITY'S TOTAL LIABILITY UNDER THIS AGREEMENT EXCEED THE AMOUNTS ACTUALLY RECEIVED BY ABG (EXCLUSIVE OF REIUMBURSEMENT OF EXPENSES) HEREUNDER, REGARDLESS OF THE NUMBER OR TYPE OF CLAIMS."
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT","This Sponsorship Agreement between iPayment, Inc., First Data Merchant Services Corporation, and Wells Fargo Bank, N.A. outlines the sponsorship of a Merchants processing Program. It stipulates that as part of their services to ISO, FDMS, and Bank, they will provide support for Merchants accepting Visa and MasterCard cards. The agreement also mentions the termination of previous agreements with Petroleum Card Services and Concord Transaction Services, and incorporates related services into this new document. The effective date is January 29, 2007.","SERVICERS may terminate this Agreement prior to its expiration for cause upon prior written notice to ISO as follows:
(a) Upon a Material breach of any representation, warranty or covenant in this Agreement by SERVICERS which is not cured by
SERVICERS within sixty (60) days of receipt of written notice from ISO; provided however, that if SERVICES are attempting in good faith to cure such breach within said sixty (60) day cure period but the nature of the breach prevents a cure within sixty (60) days, then
SERVICES shall be allotted an additional number of days to cure, provided the total number of days of the cure period shall be no greater than one hundred twenty (120) days;
(b) Upon any failure by SERVICERS to pay any amount due under this Agreement which does not give rise to the right to terminate under any other provision of this Agreement within five (5) Business Days after written notice to SERVICERS of its failure to pay the amount;",Not found,"ISO shall indemnify, defend, protect, and hold SERVICERS, their Affiliates, and their respective officers, directors, employees, attorneys, and permitted assigns, harmless from and against any Losses and credit/fraud losses arising directly from:
(a) Any failure by ISO to comply with any Material term or condition of this Agreement applicable to ISO, or the failure of any warranty or representations made by ISO in this Agreement to be true and correct;
(b) Any claim for which ISO has otherwise agreed herein to pay or indemnify SERVICERS; 
(c) Credit or fraud losses, regardless of whether SERVICERS performed any underwriting, credit review, periodic review or fraud monitoring reviews on their own behalf; 
(d) Any negligence, misrepresentation or willful misconduct on the part of ISO or any of its employees, agents, Other MSP's or IC's related to this Agreement; and
(e) Any claim by any third party related to this Agreement of a Merchant in the Merchant Portfolio that ISO's Intellectual Property violates or infringes any proprietary right of such third party, without any limitation of liability whatsoever."
